PLANT CODE,CATEGORY MAIN,SKU CODE,WAREHOUSE_CUSTOMER,ROUTE,SUPPLIED_CASES,MAX_PRODUCTION_CAPACITY,PRODUCTION COST (INR/CASE),TOTAL_PRODUCTION_COST,TOTAL_FREIGHT_COST,TOTAL_COST
UbSpHthdgRKwZLMO,OhbVrpoiVgRVIfLB,xCbnfEzIQgdfWPnk,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,81.203396,149072.0,67.5,5481.22923,17410.493101709093,22891.722331709094
UbSpHthdgRKwZLMO,OhbVrpoiVgRVIfLB,rEdEmdGgsfrloCwC,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,121.80509,149072.0,67.5,8221.843575,17410.493101709093,25632.336676709092
lZeYhTEkrwyVdXwe,gyrDOxkxwnQrSRPe,VhTFlXrYWDYiZFRn,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,1.2099535,7884.8,67.5,81.67186124999999,10505.196145711661,10586.868006961662
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,qJfobctRpyjxPzKh,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,18.96286,133056.0,75.0,1422.2145,17410.493101709093,18832.707601709095
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,QvpVPUMRpavJYfIF,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,47.40715,133056.0,75.0,3555.53625,17410.493101709093,20966.029351709094
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,SyksarByfbecBRSe,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,56.888579,133056.0,75.0,4266.643425,17410.493101709093,21677.136526709095
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,KwVGeYyfHNmTjKSI,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,18.96286,133056.0,75.0,1422.2145,17410.493101709093,18832.707601709095
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,BumByXhtwbQeJeJE,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,47.40715,133056.0,75.0,3555.53625,17410.493101709093,20966.029351709094
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,JxdoDtWTmyPelves,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,28.44429,133056.0,75.0,2133.32175,17410.493101709093,19543.814851709092
UbSpHthdgRKwZLMO,cbfnoGMbJmTPSIAo,fZsPpOuhTPNPtSTh,KKPPIlXswuRGFXVC,rEmjyqmwotFfZVpE,317.61066,133056.0,75.0,23820.7995,17410.493101709093,41231.292601709094
